schoolname,for profit,tuition revenue per fte,branches,instructional expenditure per fte,faculty salary,under investigation,5 year declining balance,7 yr repayment completion,percent fafsa,percent pell grant,type
University of North Carolina at Chapel Hill,non profit,12502.0,1,25710.0,10898.0,no,0.8536416983,0.9410569106,0.7935973041,0.495155855,non profit
University of North Carolina at Charlotte,non profit,7245.0,1,9126.0,8490.0,no,0.7068757539,0.8631178707,0.6299865299,0.60460056,non profit
University of North Carolina at Greensboro,non profit,5658.0,1,8999.0,8058.0,no,0.6372817168,0.8379106085,0.6354784081,0.653401073,non profit
Wake Forest University,non profit,29439.0,1,26803.0,11137.0,no,0.9233870968,0.96069869,0.7169117647,0.343137255,non profit
Warren Wilson College,non profit,14211.0,1,11700.0,6097.0,no,0.7835616438,0.9032258065,0.754587156,0.580275229,non profit
Wayne Community College,non profit,853.0,1,5306.0,4863.0,no,0.5085470085,0.7021276596,0.3658885183,0.93187232,non profit
Western Carolina University,non profit,5595.0,1,7845.0,7445.0,no,0.6685667752,0.8264277716,0.5043269231,0.593028846,non profit
Western Piedmont Community College,non profit,714.0,1,6067.0,5520.0,no,0.4115646259,0.7021276596,0.34064213,0.7237045962785821,non profit
Wilkes Community College,non profit,816.0,1,6597.0,5294.0,no,0.5135135135,0.6995418344619443,0.3204724409,0.957480315,non profit
University of North Carolina Wilmington,non profit,7246.0,1,7955.0,7830.0,no,0.7054833239,0.8501157407,0.5915237134,0.519475278,non profit
Wingate University,non profit,11874.0,1,8993.0,7359.0,no,0.709352518,0.9356223176,0.6075715605,0.566020314,non profit
Winston,non profit,4270.0,1,11194.0,7902.0,no,0.3781291173,0.7342995169,0.6752557787,0.734748011,non profit
Bismarck State College,non profit,4057.0,1,9461.0,5940.0,no,0.7611798287,0.9368191721,0.303905832,0.454788657,non profit
Dickinson State University,non profit,5031.0,1,10550.0,6239.0,no,0.8266009852,0.9551020408,0.5250431779,0.559585492,non profit
University of Jamestown,non profit,8385.0,1,7858.0,6412.0,no,0.8322440087,0.6995418344619443,0.5148063781,0.407744875,non profit
Lake Region State College,non profit,3325.0,1,6470.0,5882.0,no,0.6732026144,0.8021978022,0.4114391144,0.612546126,non profit
University of Mary,non profit,14103.0,1,5990.0,2997.0,no,0.8082191781,0.9427609428,0.4309278351,0.357731959,non profit
Mayville State University,non profit,4986.0,1,6689.0,5776.0,no,0.7150395778,0.6995418344619443,0.5046210721,0.547134935,non profit
Minot State University,non profit,5703.0,1,10193.0,6404.0,no,0.7581792319,0.8997050147,0.4912280702,0.539242844,non profit
Dakota College at Bottineau,non profit,2637.0,1,4893.0,4470.0,no,0.6830601093,0.8181818182,0.635610766,0.747412008,non profit
North Dakota State College of Science,non profit,3554.0,1,7798.0,6380.0,no,0.7432258065,0.9448717949,0.3252184769,0.530586767,non profit
North Dakota State University,non profit,8007.0,1,8329.0,7753.0,no,0.859608209,0.9500312305,0.4034424853,0.35852225,non profit
University of North Dakota,non profit,9624.0,1,15698.0,8565.0,no,0.8393977415,0.9412110523,0.3833940656,0.381832379,non profit
Williston State College,non profit,2114.0,1,15817.0,6946.0,no,0.7408993576,0.8862275449,0.4481012658,0.630379747,non profit
Valley City State University,non profit,5485.0,1,11284.0,5786.0,no,0.7761904762,0.6995418344619443,0.4970873786,0.489320388,non profit
Antioch University,non profit,17453.6,5,8837.6,6099.0,no,0.5745762712,0.7890625,0.5589622642,0.606132076,non profit
Art Academy of Cincinnati,non profit,24839.0,1,5809.0,4363.0,no,0.6516853933,0.6995418344619443,0.5819672131,0.614754098,non profit
Ashland University,non profit,11756.0,1,7174.0,6850.0,no,0.7396271798,0.6995418344619443,0.5690157251,0.415259173,non profit
Baldwin Wallace University,non profit,15412.0,1,10353.0,7736.0,no,0.7413554633,0.9162234043,0.7432686287,0.463368817,non profit
Bluffton University,non profit,10650.0,1,8685.0,5792.0,no,0.772173913,0.9463601533,0.6233521657,0.548022599,non profit
Bowling Green State University,non profit,6701.0,2,6628.0,7402.5,no,0.646013986,0.857448325,0.5214723926,0.522727273,non profit
Capital University,non profit,14480.0,1,9208.0,8884.0,no,0.7305619707,0.8685897436,0.7229862475,0.440733464,non profit
Case Western Reserve University,non profit,22634.0,1,30078.0,10401.0,no,0.8786764706,0.9572271386,0.9012841091,0.400481541,non profit
Cedarville University,non profit,15888.0,1,9969.0,7032.0,no,0.90785645,0.6995418344619443,0.573283859,0.407235622,non profit
Central State University,non profit,3706.0,1,6499.0,6438.0,no,0.1823161189,0.5757575758,0.8271276596,0.887411348,non profit
Cincinnati Christian University,non profit,9294.0,1,5856.0,5265.0,no,0.6463700234,0.875,0.4550898204,0.592814371,non profit
Ohio Christian University,non profit,9396.0,1,4315.0,1451.0,no,0.3854625551,0.5930232558,0.5180878553,0.825258398,non profit
Cleveland Institute of Music,non profit,24790.0,1,23413.0,7656.0,no,0.7301587302,0.6995418344619443,0.4636515619105719,0.317460318,non profit
Cleveland State University,non profit,10568.0,1,8111.0,8677.0,no,0.5375947996,0.7969879518,0.5883270911,0.607365793,non profit
Mount Saint Joseph University,non profit,15340.0,1,7648.0,6572.0,no,0.6620530565,0.90625,0.6205533597,0.4743083,non profit
Ohio Dominican University,non profit,11936.0,1,5335.0,6857.0,no,0.5653333333,0.7607476636,0.6388174807,0.564267352,non profit
Franciscan University of Steubenville,non profit,14786.0,1,7693.0,7458.0,no,0.824009324,0.8989473684,0.5035885167,0.360047847,non profit
The College of Wooster,non profit,17476.0,1,13239.0,8279.0,no,0.8242424242,0.9173553719,0.8435582822,0.332822086,non profit
Columbus College of Art and Design,non profit,30430.0,1,10539.0,6286.0,no,0.6439393939,0.8187134503,0.6138613861,0.540594059,non profit
Cuyahoga Community College District,non profit,2614.0,1,6512.0,8255.0,no,0.3377469525,0.7104072398,0.4375792588,0.869381429,non profit
Defiance College,non profit,14156.0,1,6875.0,5797.0,no,0.6791744841,0.8967741935,0.6914285714,0.540952381,non profit
Denison University,non profit,22338.0,1,17967.0,8509.0,no,0.838362069,0.9163498099,0.7678571429,0.404220779,non profit
Trinity Lutheran Seminary,non profit,5797.0,1,22200.0,8469.0,no,0.49685005965531465,0.6995418344619443,0.4636515619105719,0.7237045962785821,non profit
The University of Findlay,non profit,14500.0,1,8270.0,6537.0,no,0.7425821973,0.8921568627,0.5377207063,0.408507223,non profit
Franklin University,non profit,13717.0,1,4229.0,8452.0,no,0.5101010101,0.6995418344619443,0.5844936709,0.587974684,non profit
Heidelberg University,non profit,12529.0,1,9017.0,6190.0,no,0.7147147147,0.9341085271,0.6808510638,0.489361702,non profit
Hiram College,non profit,15431.0,1,9183.0,5440.0,no,0.7328094303,0.8525896414,0.7674074074,0.613333333,non profit
John Carroll University,non profit,12841.0,1,9268.0,8367.0,no,0.7989323843,0.9285714286,0.8457446809,0.335866261,non profit
Kent State University at Ashtabula,non profit,6701.25,8,6173.25,7062.0,no,0.5849698469,0.8370298939000003,0.4812101307,0.569569886,non profit
Kenyon College,non profit,29409.0,1,22319.0,8416.0,no,0.8843537415,0.9289340102,0.65,0.258823529,non profit
Lake Erie College,non profit,9994.0,1,5388.0,6453.0,no,0.6403269755,0.8227848101,0.6547884187,0.538975501,non profit
Lorain County Community College,non profit,2260.0,1,5710.0,7721.0,no,0.425155428,0.6994535519,0.3895274585,0.845253299,non profit
Lourdes University,non profit,15645.0,1,9102.0,6199.0,no,0.4607072692,0.76,0.6176470588,0.602941177,non profit
Malone University,non profit,11900.0,1,7392.0,6337.0,no,0.7562662057,0.8956521739,0.625,0.526699029,non profit
Marietta College,non profit,16189.0,1,12859.0,6618.0,no,0.7656716418,0.9056603774,0.7511664075,0.482115086,non profit
Methodist Theological School in Ohio,non profit,7211.0,1,9711.0,7271.0,no,0.49685005965531465,0.6995418344619443,0.4636515619105719,0.7237045962785821,non profit
Miami University,non profit,8693.666666666666,3,6676.333333333333,7477.666666666667,no,0.6594432699,0.8916146298,0.6058972733,0.461794547,non profit
Wright State University,non profit,8209.5,2,7293.5,8734.5,no,0.6296296296,0.8709677419,0.5891719745,0.597452229,non profit
University of Mount Union,non profit,13981.0,1,9277.0,7690.0,no,0.8009049774,0.9081419624,0.7591036415,0.440709617,non profit
Muskingum University,non profit,11311.0,1,8808.0,9573.0,no,0.7425,0.9081272085,0.6843817787,0.566160521,non profit
Notre Dame College,non profit,12090.0,1,4643.0,5021.0,no,0.5810473815,0.6995418344619443,0.6655896607,0.534733441,non profit
Oberlin College,non profit,29026.0,1,28894.0,10298.0,no,0.8904694168,0.6995418344619443,0.7253634895,0.237479806,non profit
Ohio Northern University,non profit,16986.0,1,12519.0,8435.0,no,0.8506493506,0.9466666667,0.7731343284,0.396019901,non profit
Ohio State University Agricultural Technical Institute,non profit,8006.5,6,9665.833333333334,8775.166666666666,no,0.6971932115,0.8572047358,0.6615958327999999,0.46779921899999993,non profit
Ohio University,non profit,4274.166666666667,6,6280.166666666667,7558.333333333333,no,0.6154469076,0.8519174041,0.5430796802,0.5134408600000001,non profit
Ohio Wesleyan University,non profit,14320.0,1,13075.0,8380.0,no,0.8450244698,0.6995418344619443,0.8371777476,0.407055631,non profit
Otterbein University,non profit,15914.0,1,10325.0,7066.0,no,0.7699260477,0.9010416667,0.765523633,0.387395737,non profit
Pontifical College Josephinum,non profit,20970.0,1,13959.0,4711.0,no,0.49685005965531465,0.6995418344619443,0.4636515619105719,0.407407407,non profit
Firelands Regional Medical Center School of Nursing,non profit,5291.0,1,14215.0,6326.458815028902,no,0.7380952381,0.6995418344619443,0.4636515619105719,0.589041096,non profit
Rabbinical College Telshe,non profit,8642.0,1,7965.0,3199.0,no,0.49685005965531465,0.6995418344619443,0.4636515619105719,0.7237045962785821,non profit
University of Rio Grande,non profit,6360.0,1,6239.0,6241.0,no,0.5282726569,0.7871485944,0.465086483,0.792440743,non profit
Sinclair Community College,non profit,1935.0,1,5813.0,7092.0,no,0.3739632167,0.691588785,0.4227066818,0.799546999,non profit
Tiffin University,non profit,8607.0,1,2994.0,6674.0,no,0.562267658,0.8128342246,0.5441952507,0.604881267,non profit
United Theological Seminary,non profit,11734.0,1,6566.0,6208.0,no,0.49685005965531465,0.6995418344619443,0.4636515619105719,0.7237045962785821,non profit
University of Akron Main Campus,non profit,9087.5,2,8471.0,8313.5,no,0.533575918,0.8346384155,0.5231900452,0.583257919,non profit
University of Cincinnati,non profit,7959.666666666667,3,7688.0,7897.666666666667,no,0.636827744,0.8760779304,0.5259264739,0.522523855,non profit
University of Dayton,non profit,20574.0,1,11646.0,8506.0,no,0.8980156899,0.9701960784,0.8669823504,0.250968575,non profit
University of Toledo,non profit,10857.0,1,12241.0,8096.0,no,0.5492152168,0.8306922435,0.577617838,0.564211121,non profit
Urbana University,non profit,9599.0,1,3621.0,5279.0,no,0.6072013093,0.8283261803,0.6063829787,0.610638298,non profit
Ursuline College,non profit,17430.0,1,11842.0,5901.0,no,0.5820895522,0.8367346939,0.6347150259,0.507772021,non profit
Walsh University,non profit,12797.0,1,7468.0,6681.0,no,0.6945564516,0.8516320475,0.6397515528,0.473824312,non profit
Wilberforce University,non profit,8198.0,1,5631.0,4689.0,no,0.3977272727,0.667953668,0.7481481481,0.711111111,non profit
Wilmington College,non profit,10386.0,1,6349.0,5640.0,no,0.7022613065,0.8799019608,0.6369268897,0.53283767,non profit
Wittenberg University,non profit,13947.0,1,10139.0,7083.0,no,0.8110831234,0.9326923077,0.802919708,0.460896768,non profit
Xavier University,non profit,16573.0,1,10076.0,8299.0,no,0.7854491463,0.9224422442,0.78106185,0.315818281,non profit
Youngstown State University,non profit,7788.0,1,7275.0,8023.0,no,0.4496516783,0.8019594122,0.4677894737,0.658105263,non profit
Western Oklahoma State College,non profit,2145.0,1,5651.0,4754.0,no,0.418556701,0.728,0.4524456522,0.877717391,non profit
Bacone College,non profit,2243.0,1,4240.0,4256.0,no,0.3620253165,0.5836909871,0.6639344262,0.836065574,non profit
Southern Nazarene University,non profit,12732.0,1,8624.0,5705.0,no,0.6735028712,0.8537859008,0.5004935834,0.56071076,non profit
Cameron University,non profit,4331.0,1,7292.0,6038.0,no,0.5253012048,0.8064516129,0.4305267524,0.825798424,non profit
Oklahoma Wesleyan University,non profit,11951.0,1,6009.0,5080.0,no,0.6868381241,0.8678571429,0.4993924666,0.561360875,non profit
University of Central Oklahoma,non profit,7537.0,1,8494.0,6874.0,no,0.6325261053,0.8382949932,0.5552754771,0.667806986,non profit
Connors State College,non profit,1195.0,1,3259.0,3321.0,no,0.4992967651,0.6842105263,0.5323488045,0.829113924,non profit
East Central University,non profit,4494.0,1,6827.0,5526.0,no,0.545392022,0.8098471986,0.5232419547,0.768176401,non profit
Eastern Oklahoma State College,non profit,1846.0,1,6147.0,4912.0,no,0.4319852941,0.6808510638,0.5529045643,0.90560166,non profit
Redlands Community College,non profit,1807.0,1,4687.0,4302.0,no,0.3979135618,0.6772151899,0.4739336493,0.854265403,non profit
Langston University,non profit,3466.0,1,8449.0,5938.0,no,0.2770012706,0.6837349398,0.7238572323,0.860363181,non profit
Murray State College,non profit,1730.0,1,4809.0,4530.0,no,0.4113989637,0.6666666667,0.4673829624,0.857252494,non profit
Northeastern Oklahoma A&M College,non profit,1229.0,1,4076.0,4609.0,no,0.4987309645,0.7371134021,0.4209912536,0.855393586,non profit
Northeastern State University,non profit,4135.0,1,7917.0,5840.0,no,0.5546697039,0.793220339,0.5740899971,0.740326741,non profit
Northern Oklahoma College,non profit,2799.0,1,6563.0,5369.0,no,0.4768421053,0.7578616352,0.5277033065,0.794459339,non profit
Northwestern Oklahoma State University,non profit,3514.0,1,6769.0,5389.0,no,0.6472972973,0.8066914498,0.5456498389,0.673469388,non profit
Oklahoma Baptist University,non profit,9773.0,1,6153.0,6324.0,no,0.7814685315,0.9271523179,0.6173633441,0.549839228,non profit
Oklahoma Christian University,non profit,8657.0,1,7261.0,5870.0,no,0.7525967894,0.9359430605,0.5399061033,0.470657277,non profit
Oklahoma City University,non profit,16782.0,1,12219.0,7055.0,no,0.7444444444,0.8852459016,0.6167582418,0.403846154,non profit
University of Science and Arts of Oklahoma,non profit,2936.0,1,7758.0,5607.0,no,0.6012658228,0.8056872038,0.5438202247,0.71011236,non profit
Rogers State University,non profit,3969.0,1,5538.0,5515.0,no,0.5484522207,0.8,0.5487077535,0.744035785,non profit
Oklahoma State University,non profit,11033.0,1,8602.0,8488.0,no,0.7117881253,0.8788135593,0.5514485514,0.576994434,non profit
Oklahoma State University Institute of Technology,non profit,2086.0,1,6303.0,4571.0,no,0.5578342904,0.6995418344619443,0.4293333333,0.751466667,non profit
Oklahoma Panhandle State University,non profit,4523.0,1,6215.0,4792.0,no,0.5719769674,0.8203592814,0.5086206897,0.725574713,non profit
Carl Albert State College,non profit,1230.0,1,4421.0,4216.0,no,0.475708502,0.672,0.3854314003,0.930693069,non profit
Seminole State College,non profit,1096.0,1,4189.0,3727.0,no,0.3697478992,0.4226804124,0.4619615032,0.90375802,non profit
Southeastern Oklahoma State University,non profit,4408.0,1,7447.0,7144.0,no,0.5931700074,0.7869955157,0.5488940629,0.784633295,non profit
Southwestern Christian University,non profit,8654.0,1,3752.0,4599.0,no,0.5479452055,0.7358490566,0.4822580645,0.764516129,non profit
Southwestern Oklahoma State University,non profit,4283.0,1,8087.0,6686.0,no,0.6154249738,0.8539130435,0.4511508951,0.665984655,non profit
St. Gregory's University,non profit,9892.0,1,4972.0,5117.0,no,0.5292841649,0.6995418344619443,0.6085790885,0.672922252,non profit
University of Oklahoma,non profit,11789.5,2,29872.5,8568.0,no,0.7505376344,0.890080429,0.5768088764,0.519612439,non profit
University of Tulsa,non profit,20416.0,1,15982.0,9905.0,no,0.7773333333,0.8947368421,0.7396907216,0.457474227,non profit
Blue Mountain Community College,non profit,3627.0,1,5341.0,5398.0,no,0.4215500945,0.7974683544,0.4970472441,0.87992126,non profit
Central Oregon Community College,non profit,2327.0,1,5105.0,6719.0,no,0.4375917768,0.7795698925,0.3712097032,0.766996489,non profit
Clatsop Community College,non profit,4446.0,2,7339.0,7133.0,no,0.4901960784,0.7796610169,0.4726134585,0.896713615,non profit
Concordia University,non profit,12091.0,1,2545.0,7612.0,no,0.700867052,0.875,0.6817042607,0.518796993,non profit
Eastern Oregon University,non profit,5215.0,1,7027.0,6145.0,no,0.6226790451,0.8859649123,0.6751361162,0.694494858,non profit
George Fox University,non profit,16009.0,1,8930.0,7096.0,no,0.8148524924,0.8857142857,0.7437452616,0.479150872,non profit
Lane Community College,non profit,7898.0,1,13225.0,7108.0,no,0.3574714943,0.7142857143,0.4663955065,0.797598296,non profit
Lewis & Clark College,non profit,24037.0,1,15866.0,9496.0,no,0.8879310345,0.9526462396,0.8906497623,0.407290016,non profit
Linfield College,non profit,18524.5,2,12038.0,7096.0,no,0.8603256213,0.9475308642,0.7729957806,0.364556962,non profit
Marylhurst University,non profit,18930.0,1,8770.0,4613.0,no,0.5618448637,0.8417721519,0.6448598131,0.69470405,non profit
Mount Angel Seminary,non profit,26488.0,1,21005.0,4820.0,no,0.49685005965531465,0.6995418344619443,0.4636515619105719,0.7237045962785821,non profit
Mt Hood Community College,non profit,3390.0,1,5603.0,7567.0,no,0.4715736041,0.8196286472,0.5718221896,0.793166789,non profit
Multnomah University,non profit,11417.0,1,5142.0,5091.0,no,0.7406143345,0.6995418344619443,0.5530973451,0.707964602,non profit
Pacific Northwest College of Art,non profit,18806.0,1,12743.0,4620.0,no,0.5238095238,0.8181818182,0.6815920398,0.611940299,non profit
Northwest Christian University,non profit,8288.0,1,4694.0,5119.0,no,0.7012987013,0.9024390244,0.6776859504,0.608815427,non profit
Western Oregon University,non profit,6513.0,1,8300.0,6444.0,no,0.650082012,0.8360655738,0.7278287462,0.642638707,non profit
Oregon State University,non profit,7714.0,2,7988.0,9406.5,no,0.7482109228,0.9030973451,0.6999215335,0.53536599,non profit
Oregon Institute of Technology,non profit,7177.0,1,9764.0,7236.0,no,0.7589134126,0.8982725528,0.6804191225,0.603143419,non profit
Pacific University,non profit,24217.0,1,12254.0,7572.0,no,0.8190630048,0.8925233645,0.8470715835,0.49132321,non profit
Portland Community College,non profit,2852.0,1,6505.0,7044.0,no,0.5000641437,0.8774509804,0.4867326733,0.741442716,non profit
Portland State University,non profit,8488.0,1,8454.0,8121.0,no,0.6275905912,0.8554519369,0.7185091331,0.678281069,non profit
Reed College,non profit,28527.0,1,22586.0,10152.0,no,0.8796561605,0.9340101523,0.4636515619105719,0.455657492,non profit
Chemeketa Community College,non profit,3773.0,1,5569.0,6471.0,no,0.4295663185,0.6052631579,0.4455185974,0.844830411,non profit
Southern Oregon University,non profit,6352.0,1,8340.0,7134.0,no,0.5908309456,0.7876857749,0.7293233083,0.693233083,non profit
Southwestern Oregon Community College,non profit,1742.0,1,5639.0,5774.0,no,0.4695787832,0.8125,0.4885496183,0.799830365,non profit
Treasure Valley Community College,non profit,3935.0,1,5941.0,5830.0,no,0.4073006724,0.685483871,0.4803921569,0.839869281,non profit
Umpqua Community College,non profit,2049.0,1,8771.0,6698.0,no,0.3137931034,0.7055214724,0.4025256511,0.902920284,non profit
University of Oregon,non profit,15185.0,1,12386.0,9390.0,no,0.6956093719,0.8425460637,0.7641311933,0.562805304,non profit
University of Portland,non profit,20125.0,1,10653.0,7817.0,no,0.8959923664,0.9456521739,0.8796812749,0.385657371,non profit
Warner Pacific College Adult Degree Program,non profit,13059.0,1,8643.5,6455.229407514451,no,0.60761347,0.875,0.6279904306,0.651913876,non profit
Willamette University,non profit,20372.0,1,13307.0,9545.0,no,0.8865131579,0.9281767956,0.9246298789,0.395693136,non profit
Bryn Athyn College of the New Church,non profit,10966.0,1,12476.0,7156.0,no,0.49685005965531465,0.6995418344619443,0.7204968944,0.670807453,non profit
Albright College,non profit,14946.0,1,9556.0,6437.0,no,0.7795059469,0.9240506329,0.7547683924,0.569482289,non profit
Allegheny College,non profit,19492.0,1,12779.0,8143.0,no,0.8642473118,0.9356568365,0.8281829419,0.379480841,non profit
Community College of Allegheny County,non profit,2424.0,1,5123.0,6364.0,no,0.50858136,0.7898550725,0.3529827038,0.813507472,non profit
Alvernia University,non profit,17408.0,1,6818.0,6185.0,no,0.7002881844,0.847133758,0.6074626866,0.546268657,non profit
Arcadia University,non profit,13828.0,1,7453.0,7786.0,no,0.7624365482,0.8846153846,0.7815750371,0.454680535,non profit
Bryn Mawr College,non profit,21894.0,1,27370.0,10521.0,no,0.8475073314,0.9027237354,0.4636515619105719,0.337142857,non profit
Bucknell University,non profit,31788.0,1,20198.0,10389.0,no,0.9546061415,0.9738675958,0.5485636115,0.299589603,non profit
Bucks County Community College,non profit,8420.3685306675,3,7368.807351869208,6270.305876685935,no,0.6239638282,0.790513834,0.36612193590000003,0.717787555,non profit
Butler County Community College,non profit,5753.0,1,6230.0,6668.0,no,0.5955235811,0.8421052632,0.353640416,0.783060921,non profit
Cabrini University,non profit,13980.0,1,7826.0,6752.0,no,0.7611607143,0.8994252874,0.7393689986,0.521262003,non profit
Carnegie Mellon University,non profit,36119.0,1,31807.0,11357.0,no,0.9340305712,0.9604863222,0.8061749571,0.325042882,non profit
Cedar Crest College,non profit,17643.0,1,9713.0,7163.0,no,0.6946484785,0.8509485095,0.6095717884,0.598236776,non profit
Chatham University,non profit,17352.0,1,8495.0,7352.0,no,0.6744868035,0.7941176471,0.5489614243,0.599406528,non profit
Chestnut Hill College,non profit,15066.0,1,7351.0,5044.0,no,0.5568345324,0.6995418344619443,0.6475869809,0.635241302,non profit
Misericordia University,non profit,16200.0,1,7079.0,7227.0,no,0.7417695473,0.9004975124,0.6013289037,0.386212625,non profit
Community College of Philadelphia,non profit,2348.0,1,5306.0,6335.0,no,0.3885783351,0.6450567261,0.4246977894,0.874974955,non profit
Curtis Institute of Music,non profit,3971.0,1,52148.0,6013.0,no,0.49685005965531465,0.6995418344619443,0.4636515619105719,0.7237045962785821,non profit
Delaware Valley University,non profit,17210.0,1,8734.0,7235.0,no,0.8317046688,0.9324324324,0.6215943491,0.41876892,non profit
Dickinson College,non profit,27496.0,1,18027.0,8939.0,no,0.8959537572,0.9584415584,0.63,0.256666667,non profit
Drexel University,non profit,23559.0,1,14939.0,10597.0,no,0.816498994,0.9422977846,0.7436734694,0.399836735,non profit
Duquesne University,non profit,20602.0,1,10922.0,8869.0,no,0.8520547945,0.931703204,0.631558492,0.303148076,non profit
Eastern University,non profit,12762.0,1,8357.0,6375.0,no,0.717032967,0.8309409888,0.5136531365,0.567527675,non profit
Elizabethtown College School of Continuing and Professional Studies,non profit,14687.5,1,9967.5,7316.729407514451,no,0.8743228602,0.9568965517,0.7022308438,0.35499515,non profit
Evangelical Theological Seminary,non profit,10181.0,1,6979.0,4904.0,no,0.49685005965531465,0.6995418344619443,0.4636515619105719,0.7237045962785821,non profit
Franklin and Marshall College,non profit,29020.0,1,19474.0,9132.0,no,0.8973214286,0.9418604651,0.7016393443,0.390163934,non profit
Gannon University,non profit,16229.0,1,7759.0,7390.0,no,0.7481412639,0.8863636364,0.5820280297,0.420445177,non profit
Geneva College,non profit,13862.0,1,8417.0,6649.0,no,0.7541463415,0.8670520231,0.5363748459,0.526510481,non profit
Gettysburg College,non profit,29130.0,1,16497.0,9491.0,no,0.9309428951,0.9631147541,0.7121019108,0.243312102,non profit
Gwynedd Mercy University,non profit,15815.0,1,8930.0,6741.0,no,0.7653688525,0.8812095032,0.6150402865,0.488809311,non profit
Harcum College,non profit,14912.0,1,6986.0,5272.0,no,0.5339805825,0.8441064639,0.4316546763,0.70647482,non profit
Harrisburg Area Community College,non profit,9050.242236801,5,7277.56882224305,6446.967052023121,no,0.5439743432,0.8106565176,0.3400495722,0.702246742,non profit
Haverford College,non profit,27250.0,1,28622.0,9832.0,no,0.9303482587,0.6995418344619443,0.4636515619105719,0.511210762,non profit
Holy Family University,non profit,16948.0,1,8916.0,7496.0,no,0.7097933513,0.8924418605,0.6063249727,0.521264995,non profit
Immaculata University,non profit,12435.0,1,5331.0,5185.0,no,0.6974128234,0.8367346939,0.5931307794,0.377807133,non profit
Indiana University of Pennsylvania,non profit,8048.0,1,9021.0,9359.0,no,0.7199495405,0.8938793483,0.4387925284,0.512841895,non profit
Juniata College,non profit,17342.0,1,10689.0,7977.0,no,0.8871595331,0.9201680672,0.7755443886,0.391959799,non profit
Keystone College,non profit,11155.0,1,6411.0,6528.0,no,0.6104491292,0.8579710145,0.5195530726,0.617877095,non profit
King's College,non profit,16008.0,1,9051.0,7123.0,no,0.7748592871,0.9037328094,0.7193675889,0.416007905,non profit
Lackawanna College,non profit,12755.0,1,5451.0,4287.0,no,0.4792899408,0.6572769953,0.5109532268,0.71107164,non profit
Lafayette College,non profit,27378.0,1,21109.0,11146.0,no,0.9106753813,0.6995418344619443,0.4636515619105719,0.26652452,non profit
Lancaster Bible College,non profit,12028.0,1,8547.0,5355.0,no,0.7978142077,0.6995418344619443,0.5005889282,0.650176678,non profit
Lancaster Theological Seminary,non profit,6829.0,1,19976.0,5771.0,no,0.49685005965531465,0.6995418344619443,0.4636515619105719,0.7237045962785821,non profit
La Salle University,non profit,17325.0,1,9274.0,9217.0,no,0.7353094124,0.8948979592,0.7552545539,0.506305465,non profit
Lebanon Valley College,non profit,18136.0,1,10409.0,7774.0,no,0.8896648045,0.9427083333,0.6781914894,0.381648936,non profit
Lehigh University,non profit,26103.0,1,20469.0,12676.0,no,0.9294532628,0.9585427136,0.7214461791,0.309778143,non profit
Lincoln University,non profit,9581.0,1,8047.0,7016.0,no,0.3269565217,0.5661016949,0.7726244344,0.71719457,non profit
Lutheran Theological Seminary at Gettysburg,non profit,5272.0,1,14223.0,6326.458815028902,no,0.49685005965531465,0.6995418344619443,0.4636515619105719,0.7237045962785821,non profit
Lutheran Theological Seminary at Philadelphia,non profit,8413.0,1,12567.0,4762.0,no,0.49685005965531465,0.6995418344619443,0.4636515619105719,0.7237045962785821,non profit
Lycoming College,non profit,13518.0,1,8436.0,7237.0,no,0.8171091445,0.8852941176,0.7397660819,0.435672515,non profit
Manor College,non profit,14959.0,1,6560.0,5075.0,no,0.5811320755,0.8232323232,0.5815047022,0.747648903,non profit
Marywood University,non profit,15219.0,1,9623.0,8023.0,no,0.7317880795,0.8753623188,0.6429330499,0.476089267,non profit
Mercyhurst University,non profit,14213.5,2,12092.0,6283.0,no,0.696388765,0.8849557522,0.567239636,0.553083923,non profit
Messiah College,non profit,17157.0,1,10514.0,8121.0,no,0.9222323879,0.9558303887,0.6292352372,0.323330107,non profit
Moore College of Art and Design,non profit,23751.0,1,11456.0,5474.0,no,0.731884058,0.9263803681,0.7058823529,0.529411765,non profit
Moravian College,non profit,17587.0,1,11700.0,7261.0,no,0.8563300142,0.9436997319,0.7008343266,0.392133492,non profit
Mount Aloysius College,non profit,14262.0,1,5815.0,6241.0,no,0.6744412051,0.8910411622,0.4176857949,0.539981185,non profit
Carlow University,non profit,16311.0,1,7288.0,6663.0,no,0.6599576271,0.8328611898,0.5863354037,0.601242236,non profit
Muhlenberg College,non profit,22612.0,1,14588.0,8467.0,no,0.8635634029,0.9643765903,0.6324900133,0.230359521,non profit
University of Valley Forge,non profit,13406.0,1,6596.0,5893.0,no,0.6820083682,0.6995418344619443,0.4759825328,0.672489083,non profit
Peirce College,non profit,15115.0,1,6402.0,6821.0,no,0.4091591592,0.7376093294,0.5126719768,0.766835626,non profit
Salus University,non profit,20651.0,1,11666.0,7787.0,no,0.49685005965531465,0.6995418344619443,0.2717948718,0.7237045962785821,non profit
Widener University,non profit,20163.333333333332,3,12870.0,10971.333333333334,no,0.7287166455,0.9008695652000002,0.7203928365,0.385904102,non profit
Bloomsburg University of Pennsylvania,non profit,7837.0,1,8464.0,8880.0,no,0.7671707624,0.9100566572,0.5710014948,0.391202221,non profit
